display_value の SUM,,,,main_department_sort_order,main_department,secondary_department_sort_order,secondary_department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,3,,,,,,,,,,,
,,,,東京支店,,,,,,,,,,,,,,,,長崎支店,,,,,,,,,,,福岡支店,,,,,,,,,,,
,,,,1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,99,100,101,102,103,104,105,106,107,108,109,199,100,101,102,103,104,105,106,107,108,109,110,199
main_category_sort_order,main_category,secondary_category_sort_order,secondary_category,東京支店計,工事営業部計,佐々木（大成・鹿島他）,浅井（清水他）,小笠原（三井住友他）,高石（内装・リニューアル）,ガラス工事計,山本（改装）,硝子建材営業部計,硝子工事,ビルサッシ,硝子販売,サッシ販売,サッシ完成品,その他,未分類,長崎支店計,工事営業部計,ガラス工事,ビルサッシ,硝子建材営業部計,硝子工事,サッシ工事,硝子販売,サッシ販売,完成品(その他),未分類,福岡支店計,工事部計,硝子工事,ビルサッシ,内装工事,硝子樹脂計,硝子,建材,樹脂,GSセンター,福北センター,未分類
,,4,前年比(%),1.519365536,1.819935505,1.091149743,1.097535591,4.305102237,0.8501122792,2.183076948,1.423103973,1.069693545,1.453419979,0.9796109883,0.7992630705,1.499447672,0.9060082072,1.053457743,0,1.347129561,2.547676256,8.706448944,1.656607803,1.253035539,2.604245028,2.811130004,1.158070947,0.9410145976,1.115092475,0,1.120220582,1.084824561,1.102208372,1.53921777,0.7721083724,1.211964612,1.19895555,1.355822572,0.8047172544,0,0.9743160874,0
,,5,目標比(%),0.9414729667,0.9450322581,0.5841089942,0.8579724237,0.786116348,0.9373263159,0.8667618844,1.092813172,0.9528083529,1.169753652,1.064835791,0.9546532237,1.525349806,0.8061779963,0.9714923969,0,0.9977857861,1.102159078,0.9654880942,1.271742619,1.119333377,2.084778887,0.9105491722,1.334355585,0.8267557376,1.047415037,0,0.9160495483,0.7484051703,0.6847972441,1.532091097,1.046700267,1.113456701,1.121535134,1.183103225,0.8938975269,0.6865415124,0.9725583996,0
4,営業経費,1,前年実績(千円),43151,25690,,,,,21167,4522,17461,,,,,,,,37781,8604,,,29176,,,,,,,44159,15358,,,,18811,,,,2148,7842,
,,2,本年目標(千円),44203,25619,,,,,22267,3352,18584,,,,,,,,40242,9371,,,30871,,,,,,,48354,16697,,,,22404,,,,1371,7882,
,,3,本年実績(千円),44981,25946,,,,,23358,2588,19035,,,,,,,,37890,8221,,,29669,,,,,,,47453,16109,,,,22835,,,,1035,7474,
,,4,前年比(%),1.042430181,1.009995291,,,,,1.103518166,0.5722528909,1.090150236,,,,,,,,1.002892432,0.9554422732,,,1.016885841,,,,,,,1.07459408,1.048899596,,,,1.213917389,,,,0.4818435754,0.9530731956,
,,5,目標比(%),1.017611225,1.012778446,,,,,1.049016302,0.7720539976,1.024273461,,,,,,,,0.9415522588,0.8772739836,,,0.9610641541,,,,,,,0.9813665881,0.964784093,,,,1.019237636,,,,0.7549234136,0.9482364882,
5,営業利益,1,前年実績(千円),20529,10964,,,,,7069,3895,9565,,,,,,,,-4305,-5187,,,881,,,,,,,15208,4957,,,,12527,,,,-2148,-128,
,,2,本年目標(千円),30918,20389,,,,,10677,9712,10529,,,,,,,,2428,-701,,,3129,,,,,,,18996,8898,,,,10237,,,,-371,232,
,,3,本年実績(千円),29818,22121,,,,,9825,12296,7697,,,,,,,,7129,3348,,,3782,,,,,,,10875,4917,,,,5850,,,,-458,566,
,,4,前年比(%),1.452486748,2.017651989,,,,,1.389980914,3.156617741,0.8046797351,,,,,,,,-1.655923079,-0.6454190797,,,4.291222161,,,,,,,0.7150614708,0.9918995836,,,,0.4669872233,,,,0.2132216015,-4.402640572,
,,5,目標比(%),0.9644375768,1.084971799,,,,,0.920218788,1.266094934,0.7310277329,,,,,,,,2.93634514,-4.775472896,,,1.208641579,,,,,,,0.5724781533,0.5526095752,,,,0.571468692,,,,1.234501348,2.437715517,
6,営業外収入（リベート）,3,本年実績(千円),370,317,,,,,317,0,53,,,,,,,,158,32,,,126,,,,,,,214,159,,,,55,,,,0,0,
7,営業外収入（その他）,3,本年実績(千円),39,0,,,,,0,0,39,,,,,,,,0,0,,,0,,,,,,,293,0,,,,214,,,,4,75,
8,営業外費用（社内利息A・B）,3,本年実績(千円),7148,5066,,,,,4598,469,2081,,,,,,,,1266,367,,,898,,,,,,,5207,2575,,,,2632,,,,0,0,
9,営業外費用（雑損失）,3,本年実績(千円),400,300,,,,,200,100,100,,,,,,,,300,145,,,155,,,,,,,700,250,,,,247,,,,103,100,
10,本店管理費,3,本年実績(千円),6006,4054,,,,,3264,790,1952,,,,,,,,3661,1648,,,2013,,,,,,,4333,2126,,,,2207,,,,0,0,
11,経常利益,1,本年目標(千円),18652,12075,,,,,3513,8562,6577,,,,,,,,-2933,-2949,,,16,,,,,,,9873,4131,,,,5761,,,,-351,332,
,,2,本年実績(千円),16674,13018,,,,,2080,10938,3656,,,,,,,,2061,1219,,,841,,,,,,,1842,375,,,,1280,,,,-454,641,
,,3,累積本年目標(千円),18652,12075,,,,,3513,8562,6577,,,,,,,,-2933,-2949,,,16,,,,,,,9873,4131,,,,5761,,,,-351,332,
,,4,累積本年実績(千円),16674,13018,,,,,2080,10938,3656,,,,,,,,2061,1219,,,841,,,,,,,1842,375,,,,1280,,,,-454,641,
